State Code,Firms,Labeler codecode Product Package Size,Product code,Package size Size,Period Covered,FDA Approved drug name,Generic/Brand,Application #,Comments,Gen availability,Name of Gen,Date of Gen availability,Price issue,ANDA APP#,Units Reimbursed,No. of Prescriptions,Total Amount Reimbursed,Medicaid Amount Reimbursed,Non-Medicaid Amount Reimbursed,,,
MA,,2,1011,2,20003,CODEINE SU,,,,,,,,,30,1,26.34,0,0,,,
MA,,2,802,2,20002,DARVON    ,,,,,,,,,60,1,9.88,0,0,,,
MA,,2,803,2,20001,DARVON    ,,,,,,,,,6080,56,2395.54,0,0,,,
MA,,2,803,2,20002,DARVON    ,,,,,,,,,415,11,189.24,0,0,,,
MA,,2,803,2,20003,DARVON    ,,,,,,,,,2744,58,1163.96,0,0,,,
MA,,2,803,2,20004,DARVON    ,,,,,,,,,2367,34,883.87,0,0,,,
MA,,2,803,3,20004,DARVON    ,,,,,,,,,120,1,18.7,0,0,,,
MA,,2,803,33,20001,DARVON    ,,,,,,,,,143,31,144.68,0,0,,,
MA,,2,803,33,20002,DARVON    ,,,,,,,,,19,5,23.17,0,0,,,
MA,,2,803,33,20003,DARVON    ,,,,,,,,,32,15,44.63,0,0,,,
MA,,2,803,33,20004,DARVON    ,,,,,,,,,115,8,66.97,0,0,,,
MA,,2,1064,2,20001,DOLOPHINE ,,,,,,,,,150,1,14.53,0,0,,,
MA,,2,1072,2,20001,DOLOPHINE ,,,,,,,,,45,1,8.86,0,0,,,
MA,,2,1072,2,20003,DOLOPHINE ,,,,,,,,,187,3,33.35,0,0,,,
MA,,2,1072,2,20004,DOLOPHINE ,,,,,,,,,55,1,10.16,0,0,,,
MA,,2,7501,1,20001,GEMZAR    ,Brand,20509,,Yes,GEMCITABINE HYDROCHLORIDE,16-May-11,,90799,44,4,3615.31,0,0,,,
MA,,2,7501,1,20002,GEMZAR    ,Brand,20509,,Yes,GEMCITABINE HYDROCHLORIDE,16-May-11,,90799,72,4,5909.6,0,0,,,
MA,,2,7501,1,20003,GEMZAR    ,Brand,20509,,Yes,GEMCITABINE HYDROCHLORIDE,16-May-11,,90799,107,9,8789.93,0,0,,,
MA,,2,7501,1,20004,GEMZAR    ,Brand,20509,,Yes,GEMCITABINE HYDROCHLORIDE,16-May-11,,90799,35,8,2887.82,0,0,,,
MA,,2,7502,1,20001,GEMZAR    ,Brand,20509,,Yes,GEMCITABINE HYDROCHLORIDE,16-May-11,,90799,79,20,32110.84,0,0,,,
MA,,2,7502,1,20002,GEMZAR    ,Brand,20509,,Yes,GEMCITABINE HYDROCHLORIDE,16-May-11,,90799,39,8,15998.95,0,0,,,
MA,,2,7502,1,20003,GEMZAR    ,Brand,20509,,Yes,GEMCITABINE HYDROCHLORIDE,16-May-11,,90799,45,10,18462.22,0,0,,,
MA,,2,7502,1,20004,GEMZAR    ,Brand,20509,,Yes,GEMCITABINE HYDROCHLORIDE,16-May-11,,90799,37,13,15929.21,0,0,,,
MA,,2,1450,1,20001,GLUCAGON F,,,,,,,,,13,7,315.4,0,0,,,
MA,,2,1450,1,20002,GLUCAGON F,,,,,,,,,6,5,274.48,0,0,,,
MA,,2,1450,1,20003,GLUCAGON F,,,,,,,,,9,5,406.48,0,0,,,
MA,,2,1450,1,20004,GLUCAGON F,,,,,,,,,24,11,1087.22,0,0,,,
